Referee_id,Referee_name,Game_id,Date,Time,Location,Player_id,First_name,Last_name,Age,Position,Nationality,Team_name,Manager,Owner,Sponsor_id,Sponsor_name
4,Juan Martínez Munuera,1,18-08-2023,22:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
4,Juan Martínez Munuera,1,18-08-2023,22:00,Santiago Bernabéu,4,Vinícius,Junior,22,Forward,Brazil,FC Barcelona,Xavi Hernández,Joan Laporta,10,Socios Campeones
1,Carlos Velasco Carballo,2,27-08-2023,17:30,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
1,Carlos Velasco Carballo,2,27-08-2023,17:30,Santiago Bernabéu,5,Frenkie,de Jong,25,Midfielder,Netherlands,Atlético Madrid,Diego Simeone,Miguel Ángel Gil Marín,22,Marketing Magistral
17,Isidro Díaz de Mera Escuderos,3,01-09-2023,21:00,Santiago Bernabéu,1,Lionel,Messi,36,Forward,Argentina,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
17,Isidro Díaz de Mera Escuderos,3,01-09-2023,21:00,Santiago Bernabéu,7,Joaquín,Correa,28,Forward,Argentina,Valencia CF,Pepe Bordalás,Peter Lim,4,Deportes Supremos
20,José Luis Munuera Montero,4,10-09-2023,12:00,Santiago Bernabéu,1,Lionel,Messi,36,Forward,Argentina,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
20,José Luis Munuera Montero,4,10-09-2023,12:00,Santiago Bernabéu,10,Koke,Ruibal,30,Midfielder,Spain,Sevilla FC,Julen Lopetegui,José Castro Carmona,1,Corporación Acme
14,Guillermo Cuadra Fernández,5,15-09-2023,21:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
14,Guillermo Cuadra Fernández,5,15-09-2023,21:00,Santiago Bernabéu,11,Yannick,Carrasco,29,Forward,Belgium,Real Sociedad,Imanol Alguacil,Jokin Aperribay,14,Grupo Puerta Dorada
8,Mario Melero López,6,23-09-2023,12:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
8,Mario Melero López,6,23-09-2023,12:00,Santiago Bernabéu,13,Marco,Asensio,26,Forward,Spain,Villarreal CF,Unai Emery,Fernando Roig,7,Maximizar Marketing
13,David Medié Jiménez,7,29-09-2023,21:00,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
13,David Medié Jiménez,7,29-09-2023,21:00,Santiago Bernabéu,16,Jan,Oblak,31,Goalkeeper,Slovenia,Real Betis,Manuel Pellegrini,Ángel Haro García and José Miguel López Catalán,3,Rendimiento Pico
5,José Luis González González,8,07-10-2023,18:30,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
5,José Luis González González,8,07-10-2023,18:30,Santiago Bernabéu,18,Sergi,Roberto,30,Midfielder,Spain,Athletic Bilbao,Marcelino García Toral,Aitor Elizegi,11,Dinámica Dinámica
12,César Soto Grado,9,15-10-2023,18:30,Santiago Bernabéu,2,Karim,Benzema,35,Forward,France,Real Madrid CF,Carlo Ancelotti,Florentino Pérez,16,Metas Grandes
12,César Soto Grado,9,15-10-2023,18:30,Santiago Bernabéu,20,David,Alaba,30,Defender,Austria,Levante UD,Paco López,Quico Catalán,28,Fondos de Primera Clase
